National Institute of Technology Karnataka Surathkal,Computer Science and Engineering (4 Years Bachelor of Technology),SC-PWD,M,3,3
Motilal Nehru National Institute of Technology Allahabad,Computer Science and Engineering (4 Years Bachelor of Technology),ST-PWD,M,5,5
National Institute of Technology Calicut,Computer Science and Engineering (4 Years Bachelor of Technology),ST-PWD,M,8,8
National Institute of Technology Karnataka Surathkal,Computer Science and Engineering (4 Years Bachelor of Technology),EWS-PWD,M,8,8
Motilal Nehru National Institute of Technology Allahabad,Computer Science and Engineering (4 Years Bachelor of Technology),SC-PWD,M,12,12
National Institute of Technology Karnataka Surathkal,Electronics and Communication Engineering (4 Years Bachelor of Technology),EWS-PWD,M,12,12
National Institute of Technology Karnataka Surathkal,Computer Science and Engineering (4 Years Bachelor of Technology),ST,M,13,65
National Institute of Technology Karnataka Surathkal,Electronics and Communication Engineering (4 Years Bachelor of Technology),ST-PWD,M,14,14
National Institute of Technology Calicut,Computer Science and Engineering (4 Years Bachelor of Technology),SC-PWD,M,15,15
Malaviya National Institute of Technology Jaipur,Computer Science and Engineering (4 Years Bachelor of Technology),SC-PWD,M,18,18
Maulana Azad National Institute of Technology Bhopal,Computer Science and Engineering (4 Years Bachelor of Technology),ST-PWD,M,18,18
National Institute of Technology Karnataka Surathkal,Artificial Intelligence (4 Years Bachelor of Technology),OBC-PWD,M,19,19
Malaviya National Institute of Technology Jaipur,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN,M,24,2594
Indian Institute of Information Technology Design &Manufacturing Kurnool Andhra Pradesh,Computer Science and Engineering (4 Years Bachelor of Technology),ST-PWD,M,26,26
Indian Institute of Information Technology Allahabad,Information Technology (4 Years Bachelor of Technology),EWS-PWD,M,28,28
National Institute of Technology Durgapur,Computer Science and Engineering (4 Years Bachelor of Technology),SC-PWD,M,29,29
National Institute of Technology Raipur,Computer Science and Engineering (4 Years Bachelor of Technology),SC-PWD,M,31,31
National Institute of Technology Karnataka Surathkal,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN,M,34,618
Maulana Azad National Institute of Technology Bhopal,Computer Science and Engineering (4 Years Bachelor of Technology),EWS-PWD,M,35,35
National Institute of Technology Durgapur,Computer Science and Engineering (4 Years Bachelor of Technology),ST-PWD,F,35,35
Indian Institute of Information Technology (IIIT) Pune,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN-PWD,M,35,658
Dr. B R Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering (4 Years Bachelor of Technology),EWS-PWD,M,36,36
National Institute of Technology Delhi,Computer Science and Engineering (4 Years Bachelor of Technology),SC-PWD,M,36,36
National Institute of Technology Karnataka Surathkal,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN-PWD,M,39,39
National Institute of Technology Delhi,Electrical and Electronics Engineering (4 Years Bachelor of Technology),ST-PWD,M,40,40
National Institute of Technology Jamshedpur,Computer Science and Engineering (4 Years Bachelor of Technology),EWS-PWD,M,40,40
Motilal Nehru National Institute of Technology Allahabad,Computer Science and Engineering (4 Years Bachelor of Technology),SC,M,42,906
